sku,product_name,brand,category1,category2,category3
P000004180,MEADOWS AUSTRALIAN HONEY 1 KG,Meadows,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000003856,Australian Honey in Jar 500 GM,Meadows,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000002524,Organic Honey 375g,Naturoney,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000001562,Mixed Honey 500g,Po Sang Yuen Pure Honey,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000000891,100% Fresh Milk 946mL,Kowloon Dairy,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000000124,100 %Fresh Milk 236mL,Kowloon Dairy,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000001395,Golden Syrup 360g,Taikoo,Bakery / Cereals / Spreads,Honey / Syrup,Syrup
P000001515,Spray Barbecue Honey (With Syrup) 180g,Giant Tree,Bakery / Cereals / Spreads,Honey / Syrup,Honey with syrup
P000001376,Barbecue Honey (With Syrup) 255g,Giant Tree,Bakery / Cereals / Spreads,Honey / Syrup,Honey with syrup
P000001382,Winter Honey 1kg,Po Sang Yuen Pure Honey,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000001512,Winter Honey 500g,Po Sang Yuen Pure Honey,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000002015,Mixed Honey 1kg,Po Sang Yuen Pure Honey,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000004067,Australian Honey Twist & Squeeze 400 GM,Meadows,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000002142,Mountain Honey 500g,El Brezal,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000001956,Forest Honey 500g,El Brezal,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000001960,Centifloral Honey 300g,Double Happiness,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000002545,Natural Australian Honey 1kg,Capilano,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000001383,100% Pure Australian Honey (Twist & Squeeze Bottle) 400g,Capilano,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000001959,Pure Honey (100% Australian) 400g,Beechworth,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000003156,Pure Natural New Zealand Honey - Multifloral 500g,Airborne,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000001379,Pure Natural New Zealand Honey - Clover 500g,Airborne,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000002152,Pure Natural New Zealand Honey - Beech Forest Honeydew 500g,Airborne,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000004179,MEADOWS PEANUT BUTTER WITH CHOCOLATE 340 GM,Meadows,Bakery / Cereals / Spreads,Spreads,Hazelnut spreads
P000001972,Rainforest Honey 400g,Glenugie Peak Organics,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000002697,Mild Blossom Honey (Bear Squeezer) 250g,Lune de Miel,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000001957,Mild & Fresh Honey 250g,Lune de Miel,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000001968,Fruity and Floral Honey 250g,Lune de Miel,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000001375,Wild Flower Honey 250g,Langnese Bee Easy,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000001513,Acacia Honey 250g,Langnese Bee Easy,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000002410,Royal Jelly in Mountain Flower Honey 375g,Langnese,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000001374,Pure Bee Honey 375g,Langnese,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000002411,Acacia Honey with Natural Honeycomb 500g,Langnese,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000001511,Acacia Honey 375g,Langnese,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000002796,Hazelnut Spread with Cocoa 350g,Ferrero Nutella,Bakery / Cereals / Spreads,Spreads,Hazelnut spreads
P000000849,UHT Fresh Milk 1L,Anchor,Dairy / Soy products / Eggs,Milk / Milk drinks,UHT milk/milk drinks
P000000902,Hi-Calcium Whole Milk Beverage 236mL,Vita,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000000900,Hi-Calcium Low Fat Milk Beverage 946mL,Vita,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000000913,Chocolate Milk Beverage 236mL,Vita,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000000896,Hi-Calcium Low Fat Milk Drink 946mL,Trappist Dairy,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
P000000130,Hi-Calcium Low Fat Milk Beverage 236mL,Vita,Dairy / Soy products / Eggs,Milk / Milk drinks,Chilled fresh milk/milk drinks
